,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
278,2019-01-01-T23:10,1,1,0,0,0,1.64,52.346,3.66,2,248,22790
279,2019-01-01-T23:15,1,1,0,0,0,1.64,52.398,3.64,2,242,22647
280,2019-01-01-T23:20,1,1,0,0,0,1.64,52.398,3.64,2,238,22562
281,2019-01-01-T23:25,1,1,0,0,0,1.62,52.398,3.64,2,240,22413
282,2019-01-01-T23:30,1,1,0,0,0,1.62,52.398,3.64,2,248,22302
283,2019-01-01-T23:35,1,1,0,0,0,1.62,52.33,3.64,2,259,22189
284,2019-01-01-T23:40,1,1,0,0,0,1.64,52.382,3.62,2,262,22096
285,2019-01-01-T23:45,1,1,0,0,0,1.62,52.382,3.62,2,257,21961
286,2019-01-01-T23:50,1,1,0,0,0,1.62,52.402,3.62,2,254,21838
287,2019-01-01-T23:55,1,1,0,0,0,1.62,52.402,3.62,0,249,21716
288,2019-01-02-T00:00,1,2,0,0,0,1.6,52.402,3.62,0,244,21602
289,2019-01-02-T00:05,1,2,0,0,0,1.62,52.506,3.6,0,244,21521
290,2019-01-02-T00:10,1,2,0,0,0,1.6,52.422,3.62,0,244,21515
291,2019-01-02-T00:15,1,2,0,0,0,1.6,52.462,3.62,0,234,21452
292,2019-01-02-T00:20,1,2,0,0,0,1.6,52.462,3.62,0,223,21337
293,2019-01-02-T00:25,1,2,0,0,0,1.6,52.566,3.6,0,210,21264
294,2019-01-02-T00:30,1,2,0,0,0,1.6,52.566,3.6,0,202,21161
295,2019-01-02-T00:35,1,2,0,0,0,1.58,52.118,3.62,0,195,21100
